Artist ID,Artist Name,Popularity
3TVXtAsR1Inumwj472S9r4,Drake,99
246dkjvS1zLTtiykXe5h60,Post Malone,100
1URnnhqYAYcrqrcwql10ft,21 Savage,98
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,96
6LuN9FCkKOj5PcnpouEgny,Khalid,99
1RyvyyTE3xzB2ZywiAwp0i,Future,96
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,96
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,95
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,94
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,96
50co4Is1HCEo8bhOyUWKpn,Young Thug,96
6oMuImdp5ZcFhWP0ESe6mG,Migos,94
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,92
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,95
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,92
2wY79sveU1sp5g7SokKOiI,Sam Smith,97
55Aa2cqylxrFIXC767Z865,Lil Wayne,93
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,95
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,95
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,94
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,99
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,93
7dGJo4pcD2V6oG8kP0tJRR,Eminem,96
06HL4z0CvFAxyc27GXpf02,Taylor Swift,95
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,92
0VRj0yCOv2FXJNP47XQnx5,Quavo,94
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,91
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,95
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,97
17lzZA2AlOHwCwFALHttmp,2 Chainz,90
3wyVrVrFCkukjdVIdirGVY,Lil Pump,92
4xRYI6VqpkE3UwrDrAZL8L,Logic,92
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,89
0c173mlxpT3dSFRgMO8XPh,Big Sean,92
02kJSzxNuaWGqwubyUba0Z,G-Eazy,91
7tYKF4w9nC0nq9CsPZTHyP,SZA,93
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,91
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,98
04gDigrS5kc9YWfZHwBETP,Maroon 5,95
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,94
4kYSro6naA4h99UJvo89HB,Cardi B,90
6icQOAFXDZKsumw3YXyusw,Lil Yachty,89
3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,90
1z7b1Pr1rSlvWRzsW3HOrS,Russ,88
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,93
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,89
26VFTg2z8YR0cCuwLzESi2,Halsey,90
2cFrymmkijnjDg9SS92EPM,blackbear,88
4q3ewBCX7sLwd24euuV69X,Bad Bunny,98
6vWDO969PvNqNYHIOW5v0m,Beyoncé,93
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,97
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,94
5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,87
21WS9wngs9AqFckK7yYJPM,PnB Rock,86
6vXTefBL93Dj5IqAWq6OTv,French Montana,92
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,92
6fOMl44jA4Sp5b9PpYCkzz,NF,90
1anyVhU62p31KFi8MEzkbf,Chance The Rapper,88
7rkW85dBwwrJtlHRDkJDAC,NAV,87
64KEffDW9EtZ1y2vBYgq8T,Marshmello,93
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,93
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,88
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,88
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,86
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,90
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,86
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,95
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,91
6Ha4aES39QiVjR0L2lwuwq,Yo Gotti,85
3Nrfpe0tUJi4K4DXYWgMUX,BTS,90
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,91
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,84
23fqKkggKUBHNkbKtXEls4,Kygo,93
5ZS223C6JyBfXasXxrRqOk,Jhene Aiko,85
5WUlDfRSoLAfcVSX1WnrxN,Sia,94
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,91
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,86
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,91
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,85
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,92
2iojnBLj0qIMiKPvVhLnsH,Trey Songz,85
1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,83
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,93
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,88
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,89
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,87
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,91
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,89
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,85
3KV3p5EY4AvKxOlhGHORLg,Jeremih,85
7CajNmpbOovFoOoasH2HaY,Calvin Harris,91
360IAlyVv4PCEVjgyMZrxK,Miguel,85
20sxb77xiYeusSH8cVdatc,Meek Mill,84
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,93
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",84
6LqNN22kT3074XbTVUrhzX,Kesha,87
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,82
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,91
1sBkRIssrMs1AbVkOJbc7a,Rick Ross,84
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,87
5cIc3SBFuBLVxJz58W2tU9,Oh Wonder,84
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,88
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,85
1KCSPY1glIKqW2TotWuXOR,P!nk,90
329e4yvIujISKGKz1BZZbO,Farruko,91
163tK9Wjr9P9DmM0AVK7lm,Lorde,87
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,89
26AHtbjWKiwYzsoGoUZq53,Pentatonix,83
6PXS4YHDkKvl1wkIl4V8DL,Fetty Wap,86
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,81
3nFkdlSjzX9mRTtwJOzDYB,JAY Z,86
4IVAbR2w4JJNJDDRFP3E83,6LACK,83
3aQeKQSyrW4qWr35idm0cy,T-Pain,84
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,89
23zg3TcAtWQy7J6upgbUnj,Usher,85
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,92
0hEurMDQu99nJRq8pTxO14,John Mayer,86
5JZ7CnR6gTvEMKX4g70Amv,Lauv,89
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,87
6jJ0s89eD6GaHleKKya26X,Katy Perry,90
5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,83
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,84
1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,86
5he5w2lnU9x7JFhnwcekXX,Skrillex,87
4aXXDj9aZnlshx7mzj3W1N,Lin-Manuel Miranda,82
3UUJfRbrA2nTbcg4i0MOwu,Original Broadway Cast of Hamilton,81
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,86
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,88
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,88
4OBJLual30L7gRl5UkeRcT,T.I.,83
